<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.18	13:00:00	2571.87	2578.03	2570.97	2576.08	6692	0	28
2024.09.18	14:00:00	2576.08	2580.64	2575.00	2577.35	6516	0	28
2024.09.18	15:00:00	2577.36	2578.77	2573.43	2576.16	8136	0	28
2024.09.18	16:00:00	2576.18	2578.46	2568.53	2571.63	12332	0	28
2024.09.18	17:00:00	2571.62	2574.75	2567.95	2571.60	12804	0	28
2024.09.18	18:00:00	2571.62	2574.38	2568.00	2569.63	10254	0	28
2024.09.18	19:00:00	2569.70	2575.16	2568.79	2574.79	7499	0	28
2024.09.18	20:00:00	2574.79	2574.82	2567.02	2567.02	8652	0	28
2024.09.18	21:00:00	2567.03	2600.06	2567.03	2575.67	27138	0	28
2024.09.18	22:00:00	2575.68	2575.97	2546.73	2548.97	25772	0	28
2024.09.18	23:00:00	2548.97	2560.83	2548.47	2558.75	8976	0	28
2024.09.19	01:00:00	2558.83	2561.46	2555.73	2559.22	3257	0	28
2024.09.19	02:00:00	2559.22	2559.59	2556.21	2559.22	3247	0	28
2024.09.19	03:00:00	2559.22	2559.46	2556.91	2558.67	7035	0	28
2024.09.19	04:00:00	2558.67	2558.67	2551.19	2555.17	12065	0	28
2024.09.19	05:00:00	2555.18	2566.62	2555.18	2564.06	9721	0	28
2024.09.19	06:00:00	2564.06	2565.23	2561.26	2563.94	7231	0	28
2024.09.19	07:00:00	2563.98	2564.08	2559.49	2564.01	4784	0	28
2024.09.19	08:00:00	2564.02	2574.51	2563.89	2574.51	8891	0	28
2024.09.19	09:00:00	2574.52	2578.70	2573.87	2575.77	12152	0	28
2024.09.19	10:00:00	2575.76	2584.56	2574.97	2584.30	11453	0	28
2024.09.19	11:00:00	2584.30	2586.49	2581.32	2584.85	8426	0	28
2024.09.19	12:00:00	2584.89	2594.78	2583.97	2591.78	11201	0	28
2024.09.19	13:00:00	2591.79	2591.79	2585.84	2588.56	9177	0	28
2024.09.19	14:00:00	2588.57	2589.68	2584.33	2589.32	11017	0	28
